Pr  3   6.00   1.1300     0.9900     SP        
Pr  3   8.00   1.2660     1.1260     SP        
Pr  3   9.00   1.3190     1.1790     SP        
Pr  4   6.00   0.9900     0.8500     SP        
Pr  4   8.00   1.1000     0.9600     SP        
Ti  2   6.00   1.0000     0.8600     SP        
Ti  3   6.00   0.8100     0.6700     SP        
Ti  4   4.00   0.5600     0.4200     SP        
Ti  4   5.00   0.6500     0.5100     SP        
Ti  4   6.00   0.7450     0.6050     SP        
Ti  4   8.00   0.8800     0.7400     SP        
Pm  3   6.00   1.1100     0.9700     SP        
Pm  3   8.00   1.2330     1.0930     SP        
Pm  3   9.00   1.2840     1.1440     SP        
Ra  2   8.00   1.6200     1.4800     SP        
Ra  2   12.00  1.8400     1.7000     SP        
Au  1   6.00   1.5100     1.3700     SP        
Au  3   6.00   0.9900     0.8500     SP        
Au  5   6.00   0.7100     0.5700     SP        
Au  -2  7.50   0.0000     2.0524     Merged    
Au  -2  6.00   0.0000     2.0308     Interp    
Au  -2  12.00  0.0000     2.1170     Interp    
Au  -1  4.00   0.0000     1.8891     None      
Au  -1  6.00   0.0000     1.9487     0.013832644628
Au  -1  8.00   0.0000     2.0416     0.0125222640198
Au  -1  12.00  0.0000     2.1885     Interp    
Co  2   5.00   0.8100     0.6700     SP        
Co  2   8.00   1.0400     0.9000     SP        
Co  4   4.00   0.5400     0.4000     SP        
I   -1  6.00   2.0600     2.2000     SP        
I   -1  2.00   0.0000     2.1171     0.00352118187395
I   -1  3.00   0.0000     2.1561     0.0341265885908
I   -1  4.00   0.0000     2.1615     None      
I   -1  8.00   0.0000     2.2246     0.0111240729991
I   -1  12.00  0.0000     2.2971     Interp    
I   5   6.00   1.0900     0.9500     SP        
I   7   4.00   0.5600     0.4200     SP        
I   7   6.00   0.6700     0.5300     SP        
In  3   4.00   0.7600     0.6200     SP        
In  3   6.00   0.9400     0.8000     SP        
In  3   8.00   1.0600     0.9200     SP        
In  -2  8.00   0.0000     2.2638     SP        
In  -2  6.00   0.0000     2.2321     SP        
In  -2  12.00  0.0000     2.3272     SP        
Se  -2  6.00   1.8400     1.9800     SP        
Se  -2  4.00   0.0000     1.9480     0.052900478817
Se  -2  8.00   0.0000     2.0035     0.0396862885129
Se  -2  12.00  0.0000     2.0604     Interp    
Se  4   6.00   0.6400     0.5000     SP        
Se  6   4.00   0.4200     0.2800     SP        
Se  6   6.00   0.5600     0.4200     SP        
Se  -1  4.00   0.0000     1.9616     None      
Se  -1  6.00   0.0000     2.0215     0.00683541291932
Se  -1  12.00  0.0000     2.2013     Interp    
Ca  2   6.00   1.1400     1.0000     SP        
Ca  2   7.00   1.2000     1.0600     SP        
Ca  2   8.00   1.2600     1.1200     SP        
Ca  2   9.00   1.3200     1.1800     SP        
Ca  2   10.00  1.3700     1.2300     SP        
Ca  2   12.00  1.4800     1.3400     SP        
Ca  2   4.00   0.0000     0.8910     Interp    
Ca  2   4.00   0.0000     0.8910     Interp    
Bk  3   6.00   1.1000     0.9600     SP        
Bk  4   6.00   0.9700     0.8300     SP        
Bk  4   8.00   1.0700     0.9300     SP        
Re  4   6.00   0.7700     0.6300     SP        
Re  5   6.00   0.7200     0.5800     SP        
Re  6   6.00   0.6900     0.5500     SP        
Re  7   4.00   0.5200     0.3800     SP        
Re  7   6.00   0.6700     0.5300     SP        
Pd  1   2.00   0.7300     0.5900     SP        
Pd  2   6.00   1.0000     0.8600     SP        
Pd  3   6.00   0.9000     0.7600     SP        
Pd  4   6.00   0.7550     0.6150     SP        
Pd  -2  7.50   0.0000     1.9417     Merged    
Pd  -2  12.00  0.0000     2.0419     None      
Pd  -2  6.00   0.0000     1.9083     Interp    
Pt  2   6.00   0.9400     0.8000     SP        
Pt  4   6.00   0.7650     0.6250     SP        
Pt  5   6.00   0.7100     0.5700     SP        
Pt  -2  6.50   0.0000     1.9275     Merged    
Pt  -2  12.00  0.0000     2.0012     None      
Pt  -2  6.00   0.0000     1.9208     Interp    
W   4   6.00   0.8000     0.6600     SP        
W   5   6.00   0.7600     0.6200     SP        
W   6   4.00   0.5600     0.4200     SP        
W   6   5.00   0.6500     0.5100     SP        
W   6   6.00   0.7400     0.6000     SP        
Hg  1   3.00   1.1100     0.9700     SP        
Hg  1   6.00   1.3300     1.1900     SP        
Hg  2   2.00   0.8300     0.6900     SP        
Hg  2   4.00   1.1000     0.9600     SP        
Hg  2   6.00   1.1600     1.0200     SP        
Hg  2   8.00   1.2800     1.1400     SP        
Sm  2   7.00   1.3600     1.2200     SP        
Sm  2   8.00   1.4100     1.2700     SP        
Sm  2   9.00   1.4600     1.3200     SP        
Sm  3   6.00   1.0980     0.9580     SP        
Sm  3   7.00   1.1600     1.0200     SP        
Sm  3   8.00   1.2190     1.0790     SP        
Sm  3   9.00   1.2720     1.1320     SP        
Sm  3   12.00  1.3800     1.2400     SP        
H   1   1.00   -0.2400    -0.3800    SP        
H   1   2.00   -0.0400    -0.1800    SP        
C   4   3.00   0.0600     -0.0800    SP        
C   4   4.00   0.2900     0.1500     SP        
C   4   6.00   0.3000     0.1600     SP        
